Date,Description,Name,Memo,Account,Amount,New Account
2025-02-21,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,687.66,
2025-04-27,Utility bill,City Utilities,Electric and water,Operating Expenses,2358.7,
2025-01-28,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,1647.21,
2025-04-24,Freight and shipping,Swift Logistics,Inbound delivery,Operating Expenses,2288.51,
2025-01-19,Monthly bank fee,Bank Service Charge,Account maintenance,Operating Expenses,680.58,
2025-04-06,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,1414.39,
2025-04-06,Internet service,FastNet Internet,Office connectivity,Operating Expenses,1471.85,
2025-02-16,Freight and shipping,Swift Logistics,Inbound delivery,Operating Expenses,567.82,
2025-03-07,Building materials,BuildRight Materials,Project materials,Operating Expenses,1246.45,
2025-04-21,Software subscription,SaaS Tools Inc,Team licenses,Operating Expenses,296.38,
2025-04-12,Office supplies,Prime Office Supply,Paper and toner,Operating Expenses,1709.19,
2025-02-19,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,969.51,
2025-03-09,Monthly bank fee,Bank Service Charge,Account maintenance,Operating Expenses,647.25,
2025-03-29,Monthly cloud hosting,Cloud Hosting Co,Production servers,Operating Expenses,1808.79,
2025-04-09,Internet service,FastNet Internet,Office connectivity,Operating Expenses,1611.38,
2025-02-07,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,1101.04,
2025-01-01,Monthly bank fee,Bank Service Charge,Account maintenance,Operating Expenses,2385.69,
2025-03-06,Internet service,FastNet Internet,Office connectivity,Operating Expenses,1910.86,
2025-04-22,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,1572.62,
2025-01-20,Utility bill,City Utilities,Electric and water,Operating Expenses,950.44,
2025-03-11,Office supplies,Prime Office Supply,Paper and toner,Operating Expenses,2384.91,
2025-03-18,Monthly cloud hosting,Cloud Hosting Co,Production servers,Operating Expenses,827.29,
2025-01-15,Monthly cloud hosting,Cloud Hosting Co,Production servers,Operating Expenses,2324.52,
2025-01-31,Insurance premium,SecureShield Insurance,Liability coverage,Operating Expenses,168.36,
2025-01-11,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,1836.47,
2025-04-08,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,1343.45,
2025-01-17,Building materials,BuildRight Materials,Project materials,Operating Expenses,1657.88,
2025-02-03,Office supplies,Prime Office Supply,Paper and toner,Operating Expenses,1330.99,
2025-01-28,Landscaping service,Greenscape Services,Grounds maintenance,Operating Expenses,2324.06,
2025-04-02,Utility bill,City Utilities,Electric and water,Operating Expenses,796.5,
2025-02-26,Online advertising,AdBoost Marketing,Lead generation,Operating Expenses,2251.54,
2025-01-16,Monthly bank fee,Bank Service Charge,Account maintenance,Operating Expenses,638.57,
2025-02-13,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,77.06,
2025-03-17,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,570.04,
2025-04-01,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,1586.98,
2025-01-09,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,2265.91,
2025-01-10,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,1297.54,
2025-03-27,Internet service,FastNet Internet,Office connectivity,Operating Expenses,1226.4,
2025-04-03,Building materials,BuildRight Materials,Project materials,Operating Expenses,2340.4,
2025-02-01,One-off consulting,Misc Vendor LLC,Special project,Operating Expenses,1966.93,
2025-01-25,Landscaping service,Greenscape Services,Grounds maintenance,Operating Expenses,258.46,
2025-02-15,Landscaping service,Greenscape Services,Grounds maintenance,Operating Expenses,1073.36,
2025-04-21,Monthly bank fee,Bank Service Charge,Account maintenance,Operating Expenses,1829.46,
2025-01-08,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,1021.49,
2025-04-13,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,2157.64,
2025-01-25,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,495.77,
2025-01-18,Monthly bank fee,Bank Service Charge,Account maintenance,Operating Expenses,1069.16,
2025-03-01,Internet service,FastNet Internet,Office connectivity,Operating Expenses,643.27,
2025-02-26,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,2024.86,
2025-01-07,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,1639.06,
2025-01-12,Monthly cloud hosting,Cloud Hosting Co,Production servers,Operating Expenses,2317.76,
2025-01-22,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,1030.87,
2025-01-28,One-off consulting,Misc Vendor LLC,Special project,Operating Expenses,2165.01,
2025-01-22,Software subscription,SaaS Tools Inc,Team licenses,Operating Expenses,962.96,
2025-02-03,Freight and shipping,Swift Logistics,Inbound delivery,Operating Expenses,2318.13,
2025-02-06,Monthly bank fee,Bank Service Charge,Account maintenance,Operating Expenses,1071.94,
2025-01-20,One-off consulting,Misc Vendor LLC,Special project,Operating Expenses,495.0,
2025-01-08,Utility bill,City Utilities,Electric and water,Operating Expenses,1458.47,
2025-04-06,Software subscription,SaaS Tools Inc,Team licenses,Operating Expenses,801.17,
2025-03-16,Software subscription,SaaS Tools Inc,Team licenses,Operating Expenses,1205.05,
2025-01-08,Office supplies,Prime Office Supply,Paper and toner,Operating Expenses,2402.93,
2025-04-19,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,484.92,
2025-03-28,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,2158.0,
2025-01-16,Freight and shipping,Swift Logistics,Inbound delivery,Operating Expenses,2355.45,
2025-03-16,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,1496.43,
2025-02-23,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,1652.0,
2025-04-30,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,670.4,
2025-01-31,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,682.4,
2025-03-27,Building materials,BuildRight Materials,Project materials,Operating Expenses,1622.61,
2025-02-10,Monthly bank fee,Bank Service Charge,Account maintenance,Operating Expenses,2324.32,
2025-01-02,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,1159.26,
2025-01-10,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,1355.65,
2025-01-17,Internet service,FastNet Internet,Office connectivity,Operating Expenses,2334.82,
2025-04-23,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,629.6,
2025-01-21,Insurance premium,SecureShield Insurance,Liability coverage,Operating Expenses,1109.51,
2025-03-20,Insurance premium,SecureShield Insurance,Liability coverage,Operating Expenses,2460.04,
2025-03-27,Monthly cloud hosting,Cloud Hosting Co,Production servers,Operating Expenses,2047.33,
2025-04-30,Insurance premium,SecureShield Insurance,Liability coverage,Operating Expenses,1666.89,
2025-02-03,Building materials,BuildRight Materials,Project materials,Operating Expenses,310.69,
2025-04-06,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,1394.23,
2025-02-06,Internet service,FastNet Internet,Office connectivity,Operating Expenses,1521.95,
2025-01-27,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,1726.56,
2025-03-06,Internet service,FastNet Internet,Office connectivity,Operating Expenses,1234.12,
2025-01-12,Software subscription,SaaS Tools Inc,Team licenses,Operating Expenses,1594.85,
2025-01-06,Internet service,FastNet Internet,Office connectivity,Operating Expenses,33.78,
2025-03-23,Building materials,BuildRight Materials,Project materials,Operating Expenses,2450.0,
2025-04-05,Office supplies,Prime Office Supply,Paper and toner,Operating Expenses,1118.54,
2025-03-13,Landscaping service,Greenscape Services,Grounds maintenance,Operating Expenses,48.93,
2025-05-01,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,2210.69,
2025-03-11,Building materials,BuildRight Materials,Project materials,Operating Expenses,114.17,
2025-03-16,Online advertising,AdBoost Marketing,Lead generation,Operating Expenses,1392.5,
2025-01-17,Landscaping service,Greenscape Services,Grounds maintenance,Operating Expenses,128.53,
2025-04-26,Online advertising,AdBoost Marketing,Lead generation,Operating Expenses,2334.39,
2025-04-26,Software subscription,SaaS Tools Inc,Team licenses,Operating Expenses,910.58,
2025-03-27,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,279.41,
2025-03-21,Landscaping service,Greenscape Services,Grounds maintenance,Operating Expenses,1879.96,
2025-04-21,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,427.19,
2025-04-23,Office supplies,Prime Office Supply,Paper and toner,Operating Expenses,1045.43,
2025-04-05,Office supplies,Prime Office Supply,Paper and toner,Operating Expenses,2313.11,
2025-04-13,Landscaping service,Greenscape Services,Grounds maintenance,Operating Expenses,1683.02,
2025-02-04,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,419.01,
2025-02-18,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,2183.61,
2025-01-29,One-off consulting,Misc Vendor LLC,Special project,Operating Expenses,518.94,
2025-02-14,Monthly bank fee,Bank Service Charge,Account maintenance,Operating Expenses,780.35,
2025-01-29,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,83.57,
2025-02-21,Utility bill,City Utilities,Electric and water,Operating Expenses,837.45,
2025-04-09,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,715.83,
2025-03-28,Freight and shipping,Swift Logistics,Inbound delivery,Operating Expenses,2453.35,
2025-05-01,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,93.31,
2025-01-23,Internet service,FastNet Internet,Office connectivity,Operating Expenses,1461.96,
2025-01-05,Internet service,FastNet Internet,Office connectivity,Operating Expenses,293.3,
2025-02-14,Landscaping service,Greenscape Services,Grounds maintenance,Operating Expenses,1828.15,
2025-02-25,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,1525.37,
2025-02-19,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,2251.27,
2025-02-02,Utility bill,City Utilities,Electric and water,Operating Expenses,134.86,
2025-01-01,Landscaping service,Greenscape Services,Grounds maintenance,Operating Expenses,1311.8,
2025-02-16,Utility bill,City Utilities,Electric and water,Operating Expenses,1092.46,
2025-03-21,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,801.94,
2025-04-03,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,2252.62,
2025-03-27,Insurance premium,SecureShield Insurance,Liability coverage,Operating Expenses,1035.77,
2025-03-31,Freight and shipping,Swift Logistics,Inbound delivery,Operating Expenses,756.75,
2025-01-25,Building materials,BuildRight Materials,Project materials,Operating Expenses,1065.6,
2025-03-28,Freight and shipping,Swift Logistics,Inbound delivery,Operating Expenses,1876.63,
2025-03-20,Office supplies,Prime Office Supply,Paper and toner,Operating Expenses,1433.54,
2025-03-12,Freight and shipping,Swift Logistics,Inbound delivery,Operating Expenses,2088.47,
2025-02-06,Insurance premium,SecureShield Insurance,Liability coverage,Operating Expenses,545.2,
2025-03-01,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,1118.42,
2025-03-07,Utility bill,City Utilities,Electric and water,Operating Expenses,1196.14,
2025-03-26,Office supplies,Prime Office Supply,Paper and toner,Operating Expenses,234.87,
2025-01-12,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,2050.6,
2025-03-28,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,793.29,
2025-01-19,Utility bill,City Utilities,Electric and water,Operating Expenses,85.45,
2025-03-02,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,1537.9,
2025-02-28,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,1050.74,
2025-04-02,Utility bill,City Utilities,Electric and water,Operating Expenses,1748.48,
2025-02-21,One-off consulting,Misc Vendor LLC,Special project,Operating Expenses,628.86,
2025-04-25,Monthly cloud hosting,Cloud Hosting Co,Production servers,Operating Expenses,1883.64,
2025-04-10,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,1077.24,
2025-04-13,Office supplies,Prime Office Supply,Paper and toner,Operating Expenses,2395.97,
2025-01-07,Monthly bank fee,Bank Service Charge,Account maintenance,Operating Expenses,1404.58,
2025-02-28,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,355.01,
2025-03-27,Monthly bank fee,Bank Service Charge,Account maintenance,Operating Expenses,1339.55,
2025-04-07,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,2231.28,
2025-04-17,Landscaping service,Greenscape Services,Grounds maintenance,Operating Expenses,2269.47,
2025-04-25,Monthly bank fee,Bank Service Charge,Account maintenance,Operating Expenses,418.92,
2025-02-27,One-off consulting,Misc Vendor LLC,Special project,Operating Expenses,666.5,
2025-04-18,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,1603.21,
2025-03-22,One-off consulting,Misc Vendor LLC,Special project,Operating Expenses,617.13,
2025-01-10,Monthly bank fee,Bank Service Charge,Account maintenance,Operating Expenses,1791.02,
2025-02-04,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,856.22,
2025-01-18,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,398.31,
2025-03-30,Freight and shipping,Swift Logistics,Inbound delivery,Operating Expenses,403.19,
2025-01-09,Utility bill,City Utilities,Electric and water,Operating Expenses,1051.8,
2025-03-11,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,1178.16,
2025-01-27,Software subscription,SaaS Tools Inc,Team licenses,Operating Expenses,2086.41,
2025-04-26,Freight and shipping,Swift Logistics,Inbound delivery,Operating Expenses,1930.24,
2025-04-20,Monthly cloud hosting,Cloud Hosting Co,Production servers,Operating Expenses,2204.63,
2025-03-03,Freight and shipping,Swift Logistics,Inbound delivery,Operating Expenses,39.59,
2025-02-08,Online advertising,AdBoost Marketing,Lead generation,Operating Expenses,1889.85,
2025-03-10,Landscaping service,Greenscape Services,Grounds maintenance,Operating Expenses,1875.1,
2025-03-04,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,568.07,
2025-03-04,Landscaping service,Greenscape Services,Grounds maintenance,Operating Expenses,96.84,
2025-03-27,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,1705.88,
2025-04-03,Freight and shipping,Swift Logistics,Inbound delivery,Operating Expenses,433.49,
2025-04-28,Monthly bank fee,Bank Service Charge,Account maintenance,Operating Expenses,340.88,
2025-04-27,Monthly cloud hosting,Cloud Hosting Co,Production servers,Operating Expenses,1000.2,
2025-01-11,Monthly cloud hosting,Cloud Hosting Co,Production servers,Operating Expenses,1615.81,
2025-04-21,Building materials,BuildRight Materials,Project materials,Operating Expenses,1167.7,
2025-02-03,Software subscription,SaaS Tools Inc,Team licenses,Operating Expenses,963.28,
2025-02-28,Utility bill,City Utilities,Electric and water,Operating Expenses,833.94,
2025-02-05,Freight and shipping,Swift Logistics,Inbound delivery,Operating Expenses,1886.22,
2025-02-02,Landscaping service,Greenscape Services,Grounds maintenance,Operating Expenses,2091.4,
2025-01-03,One-off consulting,Misc Vendor LLC,Special project,Operating Expenses,1878.84,
2025-02-14,Software subscription,SaaS Tools Inc,Team licenses,Operating Expenses,579.95,
2025-04-10,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,2394.28,
2025-04-07,Software subscription,SaaS Tools Inc,Team licenses,Operating Expenses,101.8,
2025-01-26,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,2102.09,
2025-01-31,Building materials,BuildRight Materials,Project materials,Operating Expenses,337.4,
2025-03-14,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,2370.7,
2025-03-31,Monthly bank fee,Bank Service Charge,Account maintenance,Operating Expenses,659.2,
2025-01-22,Online advertising,AdBoost Marketing,Lead generation,Operating Expenses,1524.58,
2025-04-10,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,2052.77,
2025-01-14,Insurance premium,SecureShield Insurance,Liability coverage,Operating Expenses,1457.24,
2025-03-15,Insurance premium,SecureShield Insurance,Liability coverage,Operating Expenses,1701.43,
2025-02-20,Freight and shipping,Swift Logistics,Inbound delivery,Operating Expenses,2355.14,
2025-01-10,Utility bill,City Utilities,Electric and water,Operating Expenses,1490.44,
2025-01-14,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,1750.55,
2025-04-19,Insurance premium,SecureShield Insurance,Liability coverage,Operating Expenses,1718.54,
2025-04-12,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,2460.01,
2025-02-14,Software subscription,SaaS Tools Inc,Team licenses,Operating Expenses,1343.54,
2025-01-09,Online advertising,AdBoost Marketing,Lead generation,Operating Expenses,1277.25,
2025-01-02,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,2127.7,
2025-01-14,One-off consulting,Misc Vendor LLC,Special project,Operating Expenses,1097.97,
2025-03-23,Online advertising,AdBoost Marketing,Lead generation,Operating Expenses,2231.65,
